Year,Team,Team Abbreviation,Player,Free Agent,Free Agent Date,Team Options Exercised,Team Options Exercised Date,Veteran Scale Extension,Veteran Scale Extension Team,Veteran Scale Extension Team Abbreviation,Rookie Scale Extension,Rookie Scale Extension Team,Rookie Scale Extension Team Abbreviation,Waived,Waived Date,Newly Acquired,Newly Acquired Date,url
1983-1984,Atlanta Hawks,ATL,"Eddie Johnson, Jr.",1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/1/Transaction_History/1984
1983-1984,Atlanta Hawks,ATL,John Pinone,,,,,,,,,,,1,"Nov 26, 1983",,,https://basketball.realgm.com/nba/teams/Random/1/Transaction_History/1984
1983-1984,Atlanta Hawks,ATL,Randy Smith,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/1/Transaction_History/1984
1983-1984,Atlanta Hawks,ATL,Wes Matthews,1,"Mar 4, 1984",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/1/Transaction_History/1984
1983-1984,Atlanta Hawks,ATL,Armond Hill,,,,,,,,,,,1,"Dec 20, 1983",,,https://basketball.realgm.com/nba/teams/Random/1/Transaction_History/1984
1983-1984,Atlanta Hawks,ATL,Cliff Levingston,,,,,,,,,,,,,1,"Jun 18, 1984",https://basketball.realgm.com/nba/teams/Random/1/Transaction_History/1984
1983-1984,Atlanta Hawks,ATL,Charlie Criss,1,"Feb 14, 1984",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/1/Transaction_History/1984
1983-1984,Atlanta Hawks,ATL,Sly Williams,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/1/Transaction_History/1984
1983-1984,Atlanta Hawks,ATL,Tree Rollins,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/1/Transaction_History/1984
1983-1984,Boston Celtics,BOS,John Schweitz,,,,,,,,,,,1,"Oct 25, 1983",,,https://basketball.realgm.com/nba/teams/Random/2/Transaction_History/1984
1983-1984,Boston Celtics,BOS,Craig Robinson,,,,,,,,,,,1,"Oct 5, 1983",,,https://basketball.realgm.com/nba/teams/Random/2/Transaction_History/1984
1983-1984,Boston Celtics,BOS,Tiny Archibald,,,,,,,,,,,1,"Jul 22, 1983",,,https://basketball.realgm.com/nba/teams/Random/2/Transaction_History/1984
1983-1984,Boston Celtics,BOS,Charles Bradley,,,,,,,,,,,1,"Oct 21, 1983",,,https://basketball.realgm.com/nba/teams/Random/2/Transaction_History/1984
1983-1984,Chicago Bulls,CHI,Dudley Bradley,,,,,,,,,,,1,"Oct 25, 1983",,,https://basketball.realgm.com/nba/teams/Random/4/Transaction_History/1984
1983-1984,Chicago Bulls,CHI,Ron Crevier,,,,,,,,,,,1,"Oct 14, 1983",,,https://basketball.realgm.com/nba/teams/Random/4/Transaction_History/1984
1983-1984,Chicago Bulls,CHI,Tracy Jackson,,,,,,,,,,,1,"Oct 25, 1983",,,https://basketball.realgm.com/nba/teams/Random/4/Transaction_History/1984
1983-1984,Chicago Bulls,CHI,Larry Spriggs,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/4/Transaction_History/1984
1983-1984,Chicago Bulls,CHI,Mike Bratz,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/4/Transaction_History/1984
1983-1984,Chicago Bulls,CHI,Steve Johnson,,,,,,,,,,,,,1,"Feb 15, 1984",https://basketball.realgm.com/nba/teams/Random/4/Transaction_History/1984
1983-1984,Chicago Bulls,CHI,Tim Andree,,,,,,,,,,,1,"Oct 20, 1983",,,https://basketball.realgm.com/nba/teams/Random/4/Transaction_History/1984
1983-1984,Chicago Bulls,CHI,Ed Rains,,,,,,,,,,,1,"Oct 20, 1983",,,https://basketball.realgm.com/nba/teams/Random/4/Transaction_History/1984
1983-1984,Cleveland Cavaliers,CLE,Phil Hubbard,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/5/Transaction_History/1984
1983-1984,Cleveland Cavaliers,CLE,Linton Townes,,,,,,,,,,,1,"Oct 25, 1983",,,https://basketball.realgm.com/nba/teams/Random/5/Transaction_History/1984
1983-1984,Cleveland Cavaliers,CLE,Geoff Huston,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/5/Transaction_History/1984
1983-1984,Cleveland Cavaliers,CLE,Bruce Flowers,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/5/Transaction_History/1984
