Year,Team,Team Abbreviation,Player,Traded Date,Traded Team,Free Agent,Free Agent Date,Waived,Waived Date,Destination Team Abbreviation,Destination Team,Sign Contract,Sign Contract Date,Type,url
2018,Atlanta Hawks,ATL,Malcolm Delaney,,,1,"Jul 1, 2018",,,,,,,Lost,https://basketball.realgm.com/nba/teams/random/1/roster-turnover
2018,Atlanta Hawks,ATL,Dennis Schroder,"Jul 25, 2018",OKC,,,,,,,,,Lost,https://basketball.realgm.com/nba/teams/random/1/roster-turnover
2018,Atlanta Hawks,ATL,Antonius Cleveland,,,,,1,"Jul 21, 2018",,,,,Lost,https://basketball.realgm.com/nba/teams/random/1/roster-turnover
2018,Atlanta Hawks,ATL,Tyler Cavanaugh,,,1,"May 13, 2018",1,"May 11, 2018",UTA,Utah Jazz,,,Lost,https://basketball.realgm.com/nba/teams/random/1/roster-turnover
2018,Atlanta Hawks,ATL,Josh Magette,,,1,"Jul 1, 2018",,,,,,,Lost,https://basketball.realgm.com/nba/teams/random/1/roster-turnover
2018,Atlanta Hawks,ATL,Mike Muscala,"Jul 25, 2018",PHI,,,,,,,,,Lost,https://basketball.realgm.com/nba/teams/random/1/roster-turnover
2018,Atlanta Hawks,ATL,Isaiah Taylor,,,1,"Jul 2, 2018",1,"Jun 30, 2018",,,,,Lost,https://basketball.realgm.com/nba/teams/random/1/roster-turnover
2018,Atlanta Hawks,ATL,Damion Lee,,,1,"Jul 1, 2018",,,GSW,Golden State Warriors,,,Lost,https://basketball.realgm.com/nba/teams/random/1/roster-turnover
2018,Atlanta Hawks,ATL,Jaylen Morris,,,1,"Jul 21, 2018",1,"Jul 19, 2018",,,,,Lost,https://basketball.realgm.com/nba/teams/random/1/roster-turnover
2018,Atlanta Hawks,ATL,Andrew White,,,1,"Jul 1, 2018",,,,,,,Lost,https://basketball.realgm.com/nba/teams/random/1/roster-turnover
2018,Atlanta Hawks,ATL,Tyler Dorsey,"Feb 7, 2019",MEM,,,,,,,,,Lost,https://basketball.realgm.com/nba/teams/random/1/roster-turnover
2018,Atlanta Hawks,ATL,Alex Len,,,,,,,,,1,"Aug 3, 2018",Added,https://basketball.realgm.com/nba/teams/random/1/roster-turnover
2018,Atlanta Hawks,ATL,Alex Poythress,,,,,,,,,1,"Aug 20, 2018",Added,https://basketball.realgm.com/nba/teams/random/1/roster-turnover
2018,Atlanta Hawks,ATL,Justin Anderson,,,,,,,,,,,Added,https://basketball.realgm.com/nba/teams/random/1/roster-turnover
2018,Atlanta Hawks,ATL,Deyonta Davis,,,,,,,,,1,"Mar 19, 2019",Added,https://basketball.realgm.com/nba/teams/random/1/roster-turnover
2018,Atlanta Hawks,ATL,Vince Carter,,,,,,,,,1,"Aug 24, 2018",Added,https://basketball.realgm.com/nba/teams/random/1/roster-turnover
